continent;country;rate;total_murder
Африка;Бурунді;21,7;1726
Африка;Коморські Острови;12,2;85
Африка;Джибуті;3,4;29
Африка;Еритрея;17,8;879
Африка;Ефіопія;22,5;20239
Африка;Кенія;20,1;7733
Африка;Мадагаскар;8,1;1588
Африка;Малаві;36,0;5039
Африка;Маврикій;2,5;33
Африка;Мозамбік;8,8;1925
Африка;Руанда;17,1;1708
Африка;Сейшельські Острови;8,3;7
Африка;Сомалі;1,5;138
Африка;Уганда;36,3;11373
Африка;Танзанія;24,5;10357
Африка;Замбія;38,0;4710
Африка;Зімбабве;14,3;1775
Африка;Ангола;19,0;3426
Африка;Камерун;19,7;3700
Африка;Центральноафриканська Республіка;29,3;1240
Африка;Чад;15,8;1686
Африка;Республіка Конго;30,8;1180
Африка;ДР Конго;21,7;13558
Африка;Екваторіальна Гвінея;20,7;137
Африка;Сан-Томе і Принсіпі;1,9;3
Африка;Габон;13,8;200
Африка;Алжир;1,5;516
Африка;Єгипет;1, 2;992
Африка;Лівія;2,9;176
Африка;Марокко;1,4;447
Африка;Судан;24,2;10028
Африка;Туніс;1,1;117
Африка;Ботсвана;14,5;287
Африка;Лесото;35,2;764
Африка;Намібія;17,2;352
Африка;ПАР;31,8;15940
Африка;Есватіні;12,9;141
Африка;Бенін;15,1;1262
Африка;Буркіна-Фасо;18,0;2876
Африка;Кабо-Верде;11,6;56
Африка;Кот-д'Івуар;56,9;10801
Африка;Гамбія;10,8;106
Африка;Гана;15,7;3646
Африка;Гвінея;22,5;2152
Африка;Гвінея-Бісау;20,2;294
Африка;Ліберія;10,1;371
Африка;Малі;8,0;1157
Африка;Мавританія;14,7;485
Африка;Нігер;3,8;552
Африка;Нігерія;12,2;18422
Африка;Сенегал;8,7;1027
Африка;Сьєрра-Леоне;14,9;837
Африка;Того;10,9;627
Америка;Ангілья;6,8;1
Америка;Антигуа і Барбуда;6,8;6
Америка;Багами;27,4;94
Америка;Барбадос;11,3;31
Америка;Британські Віргінські Острови;8,6;2
Америка;Кайманові Острови;8,4;5
Америка;Куба;5,0;563
Америка;Домініка;22,1;15
Америка;Домініканська Республіка;25,0;2513
Америка;Гренада;11,5;12
Америка;Гваделупа;7,0;32
Америка;Гаїті;6,9;689
Америка;Ямайка;52,2;1430
Америка;Мартиніка;4,2;17
Америка;Монтсеррат;19,7;1
Америка;Пуерто-Рико;26,2;983
Америка;Сент-Кіттс і Невіс;38,2;20
Америка;Сент-Люсія;25,2;44
Америка;Сент-Вінсент і Гренадини;22,9;25
Америка;Тринідад і Тобаго;35,2;472
Америка;Острови Теркс і Кайкос;8,7;3
Америка;Американські Віргінські Острови;39,2;43
Америка;Беліз;41,4;129
Америка;Коста-Рика;10,0;474
Америка;Сальвадор;69,2;4308
Америка;Гватемала;38,5;5681
Америка;Гондурас;91,6;7104
Америка;Мексика;16,9;25757
Америка;Нікарагуа;13,6;785
Америка;Панама;21,6;759
Америка;Бермудські Острови;12,3;8
Америка;Канада;1,6;554
Америка;США;4,2;12996
Америка;Аргентина;5, 5;2637
Америка;Болівія;8,9;884
