country;iso
Австралія;AUS
Австрія;AUT
Азербайджан;AZE
Албанія;ALB
Алжир;DZA
Ангола;AGO
Андорра;AND
Антигуа і Барбуда;ATG
Аргентина;ARG
Афганістан;AFG
Багамські Острови;BHS
Бангладеш;BGD
Барбадос;BRB
Бахрейн;BHR
Беліз;BLZ
Бельгія;BEL
Бенін;BEN
Білорусь;BLR
Болгарія;BGR
Болівія;BOL
Боснія і Герцеговина;BIH
Ботсвана;BWA
Бразилія;BRA
Бруней;BRN
Буркіна-Фасо;BFA
Бурунді;BDI
Бутан;BTN
Вануату;VUT
Ватикан;VAT
Велика Британія;GBR
Венесуела;VEN
В'єтнам;VNM
Вірменія;ARM
Габон;GAB
Гаїті;HTI
Гамбія;GMB
Гана;GHA
Гаяна;GUY
Гватемала;GTM
Гвінея;GIN
Гвінея-Бісау;GNB
Гондурас;HND
Гренада;GRD
Греція;GRC
Грузія;GEO
Данія;DNK
Джибуті;DJI
Домініка;DMA
Домініканська Республіка;DOM
Еквадор;ECU
Екваторіальна Гвінея;GNQ
Еритрея;ERI
Естонія;EST
Есватіні;SWZ
Ефіопія;ETH
Єгипет;EGY
Ємен;YEM
Замбія;ZMB
Західна Сахара;ESH
Зімбабве;ZWE
Ізраїль;ISR
Індія;IND
Індонезія;IDN
Ірак;IRQ
Іран;IRN
Ірландія;IRL
Ісландія;ISL
Іспанія;ESP
Італія;ITA
Йорданія;JOR
Кабо-Верде;CPV
Казахстан;KAZ
Камбоджа;KHM
Камерун;CMR
Канада;CAN
Катар;QAT
Кенія;KEN
Киргизстан;KGZ
Китай;CHN
Кіпр;CYP
Кірибаті;KIR
Колумбія;COL
Коморські Острови;COM
Демократична Республіка Конго;COD
Республіка Конго;COG
Південна Корея;KOR
Північна Корея;PRK
Косово;XXK[h]
Коста-Рика;CRI
Кот-д'Івуар;CIV
Куба;CUB
Кувейт;KWT
Лаос;LAO
Латвія;LVA
Лесото;LSO
Литва;LTU
Ліберія;LBR
Ліван;LBN
Лівія;LBY
Ліхтенштейн;LIE
Люксембург;LUX
Маврикій;MUS
Мавританія;MRT
Мадагаскар;MDG
Малаві;MWI
Малайзія;MYS
Малі;MLI
Мальдіви;MDV
Мальта;MLT
Марокко;MAR
Маршаллові Острови;MHL
Мексика;MEX
Федеративні Штати Мікронезії;FSM
Мозамбік;MOZ
Молдова;MDA
Монако;MCO
Монголія;MNG
М'янма;MMR
Намібія;NAM
Науру;NRU
Непал;NPL
Нігер;NER
Нігерія;NGA
Нідерланди;NLD
Нікарагуа;NIC
Німеччина;DEU
Нова Зеландія;NZL
Норвегія;NOR
Об'єднані Арабські Емірати;ARE
Оман;OMN
Пакистан;PAK
Палау;PLW
Палестинська держава;PSE
Панама;PAN
Папуа Нова Гвінея;PNG
Парагвай;PRY
Перу;PER
Південний Судан;SSD
Південно-Африканська Республіка;ZAF
Північна Македонія;MKD
Польща;POL
Португалія;PRT
Росія;RUS
Руанда;RWA
Румунія;ROU
Сальвадор;SLV
Самоа;WSM
Сан-Марино;SMR
Сан-Томе і Принсіпі;STP
Саудівська Аравія;SAU
Сейшельські Острови;SYC
Сенегал;SEN
Сент-Вінсент і Гренадини;VCT
Сент-Кіттс і Невіс;KNA
Сент-Люсія;LCA
Сербія;SRB
Сінгапур;SGP
Сирія;SYR
Словаччина;SVK
Словенія;SVN
Соломонові Острови;SLB
Сомалі;SOM
Сполучені Штати Америки;USA
Судан;SDN
Суринам;SUR
Східний Тимор;TLS
Сьєрра-Леоне;SLE
Таджикистан;TJK
Таїланд;THA
Республіка Китай;TWN
Танзанія;TZA
Того;TGO
Тонга;TON
Тринідад і Тобаго;TTO
Тувалу;TUV
Туніс;TUN
Туреччина;TUR
Туркменістан;TKM
Уганда;UGA
Угорщина;HUN
Узбекистан;UZB
Україна;UKR
Уругвай;URY
Фіджі;FJI
Філіппіни;PHL
Фінляндія;FIN
Франція;FRA
Хорватія;HRV
Центральноафриканська Республіка;CAF
Чад;TCD
Чехія;CZE
Чилі;CHL
Чорногорія;MNE
Швейцарія;CHE
Швеція;SWE
Шрі-Ланка;LKA
Ямайка;JAM
Японія;JPN
