continent,country,rate,total_murder,iso
Африка,Бурунді,"21,7",1726,BDI
Африка,Коморські Острови,"12,2",85,COM
Африка,Джибуті,"3,4",29,DJI
Африка,Еритрея,"17,8",879,ERI
Африка,Ефіопія,"22,5",20239,ETH
Африка,Кенія,"20,1",7733,KEN
Африка,Мадагаскар,"8,1",1588,MDG
Африка,Малаві,"36,0",5039,MWI
Африка,Маврикій,"2,5",33,MUS
Африка,Мозамбік,"8,8",1925,MOZ
Африка,Руанда,"17,1",1708,RWA
Африка,Сейшельські Острови,"8,3",7,SYC
Африка,Сомалі,"1,5",138,SOM
Африка,Уганда,"36,3",11373,UGA
Африка,Танзанія,"24,5",10357,TZA
Африка,Замбія,"38,0",4710,ZMB
Африка,Зімбабве,"14,3",1775,ZWE
Африка,Ангола,"19,0",3426,AGO
Африка,Камерун,"19,7",3700,CMR
Африка,Центральноафриканська Республіка,"29,3",1240,CAF
Африка,Чад,"15,8",1686,TCD
Африка,Республіка Конго,"30,8",1180,COG
Африка,Екваторіальна Гвінея,"20,7",137,GNQ
Африка,Сан-Томе і Принсіпі,"1,9",3,STP
Африка,Габон,"13,8",200,GAB
Африка,Алжир,"1,5",516,DZA
Африка,Єгипет,"1, 2",992,EGY
Африка,Лівія,"2,9",176,LBY
Африка,Марокко,"1,4",447,MAR
Африка,Судан,"24,2",10028,SDN
Африка,Туніс,"1,1",117,TUN
Африка,Ботсвана,"14,5",287,BWA
Африка,Лесото,"35,2",764,LSO
Африка,Намібія,"17,2",352,NAM
Африка,Есватіні,"12,9",141,SWZ
Африка,Бенін,"15,1",1262,BEN
Африка,Буркіна-Фасо,"18,0",2876,BFA
Африка,Кабо-Верде,"11,6",56,CPV
Африка,Кот-д'Івуар,"56,9",10801,CIV
Африка,Гамбія,"10,8",106,GMB
Африка,Гана,"15,7",3646,GHA
Африка,Гвінея,"22,5",2152,GIN
Африка,Гвінея-Бісау,"20,2",294,GNB
Африка,Ліберія,"10,1",371,LBR
Африка,Малі,"8,0",1157,MLI
Африка,Мавританія,"14,7",485,MRT
Африка,Нігер,"3,8",552,NER
Африка,Нігерія,"12,2",18422,NGA
Африка,Сенегал,"8,7",1027,SEN
Африка,Сьєрра-Леоне,"14,9",837,SLE
Африка,Того,"10,9",627,TGO
Америка,Антигуа і Барбуда,"6,8",6,ATG
Америка,Барбадос,"11,3",31,BRB
Америка,Куба,"5,0",563,CUB
Америка,Домініка,"22,1",15,DMA
Америка,Домініканська Республіка,"25,0",2513,DOM
Америка,Гренада,"11,5",12,GRD
Америка,Гаїті,"6,9",689,HTI
Америка,Ямайка,"52,2",1430,JAM
Америка,Сент-Кіттс і Невіс,"38,2",20,KNA
Америка,Сент-Люсія,"25,2",44,LCA
Америка,Сент-Вінсент і Гренадини,"22,9",25,VCT
Америка,Тринідад і Тобаго,"35,2",472,TTO
Америка,Беліз,"41,4",129,BLZ
Америка,Коста-Рика,"10,0",474,CRI
Америка,Сальвадор,"69,2",4308,SLV
Америка,Гватемала,"38,5",5681,GTM
Америка,Гондурас,"91,6",7104,HND
Америка,Мексика,"16,9",25757,MEX
Америка,Нікарагуа,"13,6",785,NIC
Америка,Панама,"21,6",759,PAN
Америка,Канада,"1,6",554,CAN
Америка,Аргентина,"5, 5",2637,ARG
Америка,Болівія,"8,9",884,BOL
Америка,Бразилія,"21,0",40974,BRA
Америка,Чилі,"3,2",541,CHL
Америка,Колумбія,"33,4",15459,COL
Америка,Еквадор,"15,2",2638,ECU
Америка,Гаяна,"18,6",140,GUY
Америка,Парагвай,"11,5",741,PRY
Америка,Перу,"10,3",2969,PER
Америка,Суринам,"4,6",24,SUR
Америка,Уругвай,"5,9",199,URY
Америка,Венесуела,"45,1",13080,VEN
Азія,Казахстан,"8,8",1418,KAZ
Азія,Киргизстан,"20,1",1072,KGZ
Азія,Таджикистан,"2,1",143,TJK
Азія,Туркменістан,"4,2",203,TKM
Азія,Узбекистан,"3,1",831,UZB
Азія,Північна Корея,"15,2",3658,PRK
Азія,Японія,"0,3",442,JPN
Азія,Монголія,"8,7",239,MNG
Азія,Південна Корея,"2,6",1251,KOR
Азія,Бруней,"0,5",2,BRN
Азія,Камбоджа,"3,4",448,KHM
Азія,Індонезія,"8,1",18963,IDN
Азія,Лаос,"4,6",279,LAO
Азія,Малайзія,"2,3",604,MYS
Азія,М'янма,"10,2",4800,MMR
Азія,Філіппіни,"5,4",4947,PHL
Азія,Сінгапур,"0,3",16,SGP
Азія,Таїланд,"4,8",3307,THA
Азія,Східний Тимор,"6,9",75,TLS
Азія,В'єтнам,"1,6",1346,VNM
Азія,Афганістан,"2,4",712,AFG
Азія,Бангладеш,"2,7",3988,BGD
Азія,Бутан,"1,0",7,BTN
Азія,Індія,"3,4",40752,IND
Азія,Іран,"3,0",2215,IRN
Азія,Мальдіви,"1,6",5,MDV
Азія,Непал,"2,8",818,NPL
Азія,Пакистан,"7,8",13860,PAK
Азія,Шрі-Ланка,"3,6",745,LKA
Азія,Вірменія,"1,4",44,ARM
Азія,Азербайджан,"2,2",206,AZE
Азія,Бахрейн,"0,6",6,BHR
Азія,Грузія,"4,3",187,GEO
Азія,Кіпр,"1,7",19,CYP
Азія,Ірак,"2,0",608,IRQ
Азія,Ізраїль,"2,1",159,ISR
Азія,Йорданія,"1,8",100,JOR
Азія,Кувейт,"2,2",59,KWT
Азія,Ліван,"2,2",95,LBN
Азія,Оман,"0,7",18,OMN
Азія,Катар,"0,9",13,QAT
Азія,Саудівська Аравія,"1,0",265,SAU
Азія,Сирія,"2,3",463,SYR
Азія,Туреччина,"3,3",2320,TUR
Азія,Ємен,"4,2",990,YEM
Європа,Білорусь,"4,9",473,BLR
Європа,Болгарія,"2,0",147,BGR
Європа,Чехія,"1,7",181,CZE
Європа,Угорщина,"1,3",133,HUN
Європа,Польща,"1,1",436,POL
Європа,Молдова,"7,5",267,MDA
Європа,Румунія,"2,0",421,ROU
Європа,Росія,"9,3",13180,RUS
Європа,Словаччина,"1,5",84,SVK
Європа,Україна,"9,2",3844,UKR
Європа,Данія,"0,9",47,DNK
Європа,Естонія,"5,2",70,EST
Європа,Фінляндія,"2,2",118,FIN
